gloss,count
dove,1
turtledove,1
quail,1
gourd,1
cantaloupe,1
zucchini,1
spoon,1
small.spoon,1
milano,1
excel,1
elderly.woman,1
married.woman,1
that/where,1
maguey,1
bundle,1
cloud,1
law,1
punish,1
tapanco,1
trash,1
rice,1
ripe.corn,1
roast,1
buzz,1
container,1
slip,1
towomen,1
fifteen,1
saturday,1
monday,1
paved,1
legitimate,1
sword,1
morelos,1
revolution,1
jaracuaro,1
tzirondaro,1
yunuen,1
isidro,1
satisfy,1
egg,1
car,1
clay,1
lump,1
be.at,1
outside,1
soda,1
sapodilla.fruit,1
tender,1
raise,1
player,1
unit.of.measure,1
arrived,1
around.base,1
went,1
arrrived,1
fall.in.water,1
correspond,1
parade,1
supplicate=,1
seat,1
chewinggum,1
decorate,1
depth,1
singe,1
entangle,1
hilo,1
smoker,1
tolive,1
thanks,1
by,1
side,1
across,1
last.name,1
face,1
have.hair,1
middle,1
picture,1
fall.apart,1
according,1
march,1
be.wide,1
peppermint,1
corunda,1
permission,1
mean,1
make.line,1
light,1
metate,1
glare,1
smallones,1
scrub,1
spend.all.day,1
squirrel,1
watch,1
gift,1
show,1
tooth,1
divide,1
find,1
chase,1
tejocote,1
corn.tamal,1
let.me.see,1
tamal.michoacan,1
representaenlapersonalaaccionqueexteriormentehaceelverbo,1
music,1
little.by.little,1
aunt,1
duskedalready,1
at.once,1
saw,1
distribute,1
pack,1
chile,1
skinny,1
ate,1
sun.heat,1
cotton,1
count,1
lenar,1
vehicle,1
luck,1
ship,1
river,1
window,1
cupcakes,1
toys,1
stove,1
loop,1
catch.fire,1
allow,1
clap,1
days,1
run.away,1
wake.up,1
waste,1
see.if,1
cutted,1
bags,1
thresh,1
wentdown,1
left,1
foundthem,1
willmakethemplow,1
become,1
striped,1
move.aside,1
stories,1
kids,1
andthemen,1
spoil,1
short,1
breathe,1
show.skills,1
fatherinlaw,1
turnedalready,1
minuts,1
=just,1
dead's,1
hand.finger,1
who.knows,1
put.pillow,1
nor,1
side.by.side,1
lime,1
custardapple,1
white.sapote,1
guava,1
feel.oneself,1
sones,1
silence,1
rose,1
camellia,1
tulip,1
dahlia,1
livingthings,1
metal,1
women,1
braid,1
evening,1
pennicoat,1
panindicuaro,1
coral,1
underpants,1
handkerchief,1
dear.female,1
to.be.straight,1
shoulder,1
settle,1
trust,1
looking,1
gladiola,1
ofcanartions,1
noble,1
crouch,1
kneel=,1
great,1
just,1
worm,1
worms,1
mat,1
sweat,1
smell,1
